time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
208.86	3.7825	0.13000	1.0099	4.0966	7.2073
208.99	3.7825	0.13000	0.97383	4.2482	7.2073
209.78	3.7825	0.13000	0.67594	6.1203	7.2073
209.91	3.7825	0.13000	0.90194	4.5868	7.2073
210.57	3.7825	0.13000	0.30331	13.640	7.2073
211.49	3.7825	0.13000	0.69475	5.9546	7.2073
212.28	3.7825	0.13000	0.30615	13.513	7.2073
212.41	3.7825	0.13000	1.1581	3.5723	7.2073
213.85	3.7825	0.13000	0.56238	7.3562	7.2073
214.12	3.7825	0.13000	0.62785	6.5892	7.2073
215.04	3.7825	0.13000	0.43314	9.5512	7.2073
215.56	3.7825	0.13000	0.11887	34.803	7.2073
216.35	3.7825	0.13000	0.46960	8.8096	7.2073
217.27	3.7825	0.13000	0.35727	11.579	7.2073
217.40	3.7825	0.13000	0.91382	4.5272	7.2073
218.85	3.7825	0.13000	0.70494	5.8686	7.2073
219.11	3.7825	0.13000	0.54417	7.6023	7.2073
219.90	3.7825	0.13000	0.70707	5.8509	7.2073
220.55	3.7825	0.13000	0.66320	6.2380	7.2073
221.47	3.7825	0.13000	0.36713	11.268	7.2073
221.60	3.7825	0.13000	1.2177	3.3973	7.2073
222.39	3.7825	0.13000	0.47756	8.6628	7.2073
223.05	3.7825	0.13000	0.26932	15.361	7.2073
224.89	3.7825	0.13000	0.93555	4.4220	7.2073
225.55	3.7825	0.13000	0.63513	6.5136	7.2073
225.68	3.7825	0.13000	0.37866	10.925	7.2073
226.46	3.7825	0.13000	0.25523	16.209	7.2073
227.12	3.7825	0.13000	0.29863	13.853	7.2073
228.04	3.7825	0.13000	0.47940	8.6296	7.2073
228.17	3.7825	0.13000	0.49298	8.3918	7.2073
228.83	3.7825	0.13000	0.44372	9.3234	7.2073
228.96	3.7825	0.13000	0.23128	17.887	7.2073
230.41	3.7825	0.13000	0.57071	7.2489	7.2073
230.67	3.7825	0.13000	0.59550	6.9471	7.2073
232.11	3.7825	0.13000	0.72527	5.7041	7.2073
232.38	3.7825	0.13000	0.68363	6.0515	7.2073
233.03	3.7825	0.13000	0.59002	7.0117	7.2073
