time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	J	time s (min)	psi Min	derivative psiMin
106.01	4.1912							
106.14	4.2525							
106.27	4.3322							
106.40	4.4185							
106.53	4.5354							
106.67	4.5989							
106.80	4.7189							
106.93	4.7806							
107.06	4.8195							
107.19	4.8776							
107.32	4.9037							
107.45	4.9233							
107.58	4.9270							
107.71	4.6841							
107.84	3.7409							
107.98	3.7219							
108.11	3.7606							
108.24	3.7941							
108.37	3.8700							
108.50	3.9618							
108.63	4.0800							
108.76	4.1673							
108.89	4.2739							
109.02	4.4110							
109.15	4.5132							
109.29	4.5905							
109.42	4.6980							
109.55	4.7684							
109.68	4.8614							
109.81	4.9076							
109.94	4.9417							
110.07	4.9912							
110.20	5.0239							
110.33	5.0279							
110.47	4.9370							
110.60	4.0927							
110.73	3.7920							
110.86	3.7994							
110.99	3.8846							
111.12	3.9453							
111.25	4.0586							
111.38	4.1486							
111.51	4.2635							
111.64	4.4164							
111.78	4.5373							
111.91	4.6354							
112.04	4.7370							
112.17	4.8295							
112.30	4.8878							
112.43	4.9402							
112.56	4.9995							
112.69	5.0717							
112.82	5.1233							
112.95	5.1565							
113.09	5.1583							
113.22	4.5004							
113.35	4.1875							
113.48	4.0881							
113.61	4.0675							
113.74	4.0831							
113.87	4.1165							
114.00	4.1880							
114.13	4.2797							
114.27	4.4110							
114.40	4.5528							
114.53	4.6728							
114.66	4.7705							
114.79	4.8474							
114.92	4.9442							
115.05	5.0156							
115.18	5.0810							
115.31	5.1442							
115.44	5.2138							
115.58	5.2545							
115.71	5.2832							
115.84	5.3049							
115.97	4.8833							
116.10	4.3680							
116.23	4.2401							
116.36	4.1858							
116.49	4.1705							
116.62	4.2149							
116.76	4.2770							
116.89	4.3929							
117.02	4.5272							
117.15	4.6506							
117.28	4.7997							
117.41	4.8936							
117.54	4.9620							
117.67	5.0308							
117.80	5.1027							
117.93	5.1520							
118.07	5.2010							
118.20	5.2394							
118.33	5.3231							
118.46	5.3500							
118.59	5.3345							
118.72	4.4585							
118.85	4.1335							
118.98	4.0801							
119.11	4.0777							
119.24	4.1296							
119.38	4.2028							
119.51	4.3062							
119.64	4.4579							
119.77	4.6006							
119.90	4.7279							
120.03	4.8583							
120.16	4.9504							
120.29	5.0421							
120.42	5.1115							
120.56	5.1458							
120.69	5.1758							
120.82	5.2280							
120.95	5.2905							
121.08	5.3600							
121.21	5.4002							
121.34	5.2790							
121.47	4.5143							
121.60	4.4617							
121.73	4.4215							
121.87	4.3918							
122.00	4.4286							
122.13	4.4845							
122.26	4.5681							
122.39	4.6607							
122.52	4.7563							
122.65	4.8811							
122.78	4.9762							
122.91	5.0573							
123.04	5.1251							
123.18	5.1769							
123.31	5.2523							
123.44	5.2979							
123.57	5.3475							
123.70	5.3819							
123.83	5.4339							
123.96	5.4276							
124.09	4.5993							
124.22	4.4554							
124.36	4.4331							
124.49	4.4364							
124.62	4.4564							
124.75	4.4926							
124.88	4.5512							
125.01	4.6233							
125.14	4.7095							
125.27	4.8220							
125.40	4.9494							
125.53	5.0486							
125.67	5.1141							
125.80	5.1679							
125.93	5.2284							
126.06	5.2722							
126.19	5.3222							
126.32	5.3687							
126.45	5.3914							
126.58	5.4411							
126.71	5.2847							
126.85	4.4421							
126.98	4.3202							
127.11	4.3327							
127.24	4.3509							
127.37	4.4062							
127.50	4.4740							
127.63	4.5716							
127.76	4.6773							
127.89	4.7898							
128.02	4.9545							
128.16	5.0686							
128.29	5.1409							
128.42	5.1838							
128.55	5.2537							
128.68	5.3090							
128.81	5.3859							
128.94	5.4656							
129.07	5.5384							
129.20	5.5911							
129.33	5.6615							
129.47	5.8068							
129.60	5.8696							
129.73	5.8925							
129.86	5.8559							
129.99	4.7685							
130.12	4.6211							
130.25	4.6356							
130.38	4.6992							
130.51	4.8369							
130.65	4.9621							
130.78	5.0819							
130.91	5.1578							
131.04	5.2727							
131.17	5.4105							
131.30	5.4350							
131.43	5.4494							
131.56	5.4705							
131.69	5.5451							
131.82	5.5801							
131.96	5.6705							
132.09	6.0102							
132.22	5.9658							
132.35	6.0673							
132.48	6.1178							
132.61	6.1190							
132.74	6.0514							
132.87	5.0760							
133.00	4.8663							
133.13	4.9303							
133.27	5.0226							
133.40	5.1169							
133.53	5.1854							
133.66	5.2539							
133.79	5.3117							
133.92	5.3533							
134.05	5.4057							
134.18	5.4898							
134.31	5.5921							
134.45	5.6349							
134.58	5.7640							
134.71	5.9001							
134.84	6.0103							
134.97	6.0845							
135.10	6.1258							
135.23	6.1793							
135.36	6.2271							
135.49	6.2278							
135.62	5.8224							
135.76	5.1841							
135.89	5.1116							
136.02	5.1495							
136.15	5.2032							
136.28	5.2566							
136.41	5.3030							
136.54	5.3566							
136.67	5.4006							
136.80	5.4439							
136.93	5.5319							
137.07	5.6706							
137.20	5.7206							
137.33	5.8195							
137.46	5.9831							
137.59	6.1531							
137.72	6.3279							
137.85	6.4497							
137.98	6.5366							
138.11	6.6219							
138.25	6.6306							
138.38	6.6390							
138.51	6.6441							
138.64	5.7586							
138.77	5.6214							
138.90	5.5721							
139.03	5.5925							
139.16	5.6177							
139.29	5.6763							
139.42	5.7418							
139.56	5.8192							
139.69	5.9122							
139.82	6.0560							
139.95	6.2064							
140.08	6.3376							
140.21	6.4250							
140.34	6.4792							
140.47	6.5330							
